FIPS,State,2018,2019,2020,2021
1,Alabama,81143.23585,83532.24962,82750.6182,85118.8165
2,Alaska,85727.83208,77763.68986,79839.28937,81463.0568
4,Arizona,84115.79955,85201.42189,89008.942,97699.26554
5,Arkansas,71824.35925,73840.90331,70885.80244,70511.59707
6,California,102563.6881,105886.471,108841.2207,115003.4103
8,Colorado,89672.65531,88800.75938,90105.63715,91683.25308
9,Connecticut,97004.09094,97750.08417,96745.55725,98130.79829
10,Delaware,110269.637,102242.8541,99729.33113,109963.1982
11,District of Columbia,76987.49373,80805.1231,85814.96711,91335.92288
12,Florida,79331.52709,80252.23586,82209.70071,85098.65689
13,Georgia,84930.17924,86830.39161,88430.72211,93835.20567
15,Hawaii,106328.9359,105108.8754,105837.5902,99585.9615
16,Idaho,67638.2034,68947.91115,68442.73264,75200.53598
17,Illinois,90800.77267,93951.98034,100173.5838,103572.9071
18,Indiana,64868.66457,67931.94978,67095.44855,72696.6
19,Iowa,71322.63207,71781.84617,77155.18671,78281.41073
20,Kansas,73503.62154,71885.84478,78332.24789,87395.19391
21,Kentucky,69238.5443,71863.02686,72059.35288,72842.04489
22,Louisiana,64894.10204,70675.10695,67341.17465,68070.46552
23,Maine,76139.98061,80205.34558,78157.98479,69712.9955
24,Maryland,98424.79214,101055.2696,102869.8878,109254.4992
25,Massachusetts,94726.22734,101865.2689,100814.92,104074.0743
26,Michigan,78605.29115,78223.61261,79072.05953,80166.13025
27,Minnesota,83897.43807,88563.57156,90642.93411,99595.23458
28,Mississippi,66641.78673,69488.00857,70039.82613,66942.70243
29,Missouri,80443.06976,83417.04163,84159.86533,88513.12539
30,Montana,57534.42738,54940.74408,50950.28254,58195.58947
31,Nebraska,75445.26277,80727.08672,78315.04936,85736.78665
32,Nevada,75887.81545,77620.33869,76603.15403,74456.14449
33,New Hampshire,91797.71703,81706.22952,83860.86943,83082.6714
34,New Jersey,106172.3754,107869.7536,110048.4581,118599.2164
35,New Mexico,62019.3331,64332.05586,70184.2619,74443.90903
36,New York,97709.80144,101980.5338,103140.5725,108591.2607
37,North Carolina,83863.7512,84533.96796,85291.64,94040.6344
38,North Dakota,56265.87131,54147.72033,51415.04439,51061.49605
39,Ohio,78793.72807,80644.53882,82682.71684,87811.46323
40,Oklahoma,72380.83301,73584.54064,73629.78482,85163.60182
41,Oregon,85652.6277,87230.70669,86235.74081,90288.84822
42,Pennsylvania,81974.52957,83300.04436,84926.05021,88194.49721
72,Puerto Rico,47442.25341,47253.68419,47863.88889,53895.82789
44,Rhode Island,75546.17794,79601.16817,84535.42816,88828.29762
45,South Carolina,82352.60443,81202.33399,87409.11518,89948.13757
46,South Dakota,65223.55347,74241.0289,75443.04681,70985.41455
47,Tennessee,82029.06493,81724.81272,80047.85353,86203.21586
48,Texas,88195.12873,87865.65533,88608.08737,93950.46644
49,Utah,81942.35332,81747.37544,83960.07624,90338.82428
50,Vermont,81399,90040.45682,97467.08385,101836.7408
51,Virginia,97809.76242,100200.2892,100266.7557,105024.5075
53,Washington,109961.4917,111130.1433,108298.3086,114847.475
54,West Virginia,68667.3901,63725.62978,67841.69143,69681.97698
55,Wisconsin,71972.32977,74302.74669,72594.58188,76758.20705
56,Wyoming,63554.0458,62146.17568,60832.68595,63032.64394
