ID University,University,Year,Men,Women
110635,University of California-Berkeley,2012,129,-30
110635,University of California-Berkeley,2013,173,-52
110635,University of California-Berkeley,2014,241,-51
110635,University of California-Berkeley,2015,281,-80
110635,University of California-Berkeley,2016,347,-127
110635,University of California-Berkeley,2017,453,-152
110635,University of California-Berkeley,2018,465,-192
110635,University of California-Berkeley,2019,561,-202
110635,University of California-Berkeley,2020,658,-239
110635,University of California-Berkeley,2021,621,-235
110635,University of California-Berkeley,2022,640,-263
145637,University of Illinois Urbana-Champaign,2012,258,-51
145637,University of Illinois Urbana-Champaign,2013,309,-33
145637,University of Illinois Urbana-Champaign,2014,370,-57
145637,University of Illinois Urbana-Champaign,2015,386,-55
145637,University of Illinois Urbana-Champaign,2016,469,-77
145637,University of Illinois Urbana-Champaign,2017,347,-76
145637,University of Illinois Urbana-Champaign,2018,463,-126
145637,University of Illinois Urbana-Champaign,2019,533,-143
145637,University of Illinois Urbana-Champaign,2020,540,-183
145637,University of Illinois Urbana-Champaign,2021,700,-201
145637,University of Illinois Urbana-Champaign,2022,771,-217
163286,University of Maryland-College Park,2018,0,0
163286,University of Maryland-College Park,2019,601,-136
163286,University of Maryland-College Park,2020,677,-162
163286,University of Maryland-College Park,2021,715,-214
163286,University of Maryland-College Park,2022,863,-192
123961,University of Southern California,2012,379,-82
123961,University of Southern California,2013,367,-112
123961,University of Southern California,2014,435,-134
123961,University of Southern California,2015,506,-181
123961,University of Southern California,2016,602,-246
123961,University of Southern California,2017,742,-330
123961,University of Southern California,2018,776,-335
123961,University of Southern California,2019,772,-357
123961,University of Southern California,2020,888,-385
123961,University of Southern California,2021,966,-420
123961,University of Southern California,2022,720,-295
209542,Oregon State University,2013,128,-14
209542,Oregon State University,2014,168,-24
209542,Oregon State University,2015,222,-48
209542,Oregon State University,2016,289,-70
209542,Oregon State University,2017,482,-113
209542,Oregon State University,2018,523,-110
209542,Oregon State University,2019,622,-143
209542,Oregon State University,2020,607,-155
209542,Oregon State University,2021,694,-179
209542,Oregon State University,2022,774,-211
