Age,Year,Total Population,Average Wage,Record Count,share
19,2022,365,50666.90685,15,0.000157445
20,2022,1866,33197.57985,63,0.000804909
21,2022,7318,34887.09757,300,0.003156659
22,2022,29185,40998.59027,1212,0.012589107
23,2022,50092,54696.36561,2046,0.021607455
24,2022,55196,65709.06006,2254,0.023809092
25,2022,64404,80414.41923,2593,0.027781013
26,2022,66421,82594.68213,2647,0.028651057
27,2022,64388,87472.98223,2584,0.027774111
28,2022,65252,92680.19503,2601,0.028146802
29,2022,63929,96973.26348,2634,0.027576119
30,2022,64018,101224.141,2708,0.02761451
31,2022,62204,110098.788,2623,0.026832031
32,2022,65181,109173.679,2700,0.028116176
33,2022,64595,111972.7158,2760,0.027863402
34,2022,63171,120077.6425,2704,0.027249152
35,2022,70270,121493.2041,3018,0.030311344
36,2022,71256,127184.6122,3061,0.03073666
37,2022,73231,131531.9093,3293,0.031588587
38,2022,74486,130003.7866,3234,0.032129938
39,2022,76506,138250.2638,3325,0.033001276
40,2022,76032,135054.3323,3366,0.032796813
41,2022,71394,138546.798,3204,0.030796187
42,2022,65438,137997.8016,2981,0.028227034
43,2022,65624,141956.1805,2821,0.028307267
44,2022,60262,139301.6679,2676,0.025994339
45,2022,56818,144052.4112,2583,0.024508751
46,2022,52564,143658.0555,2419,0.022673765
47,2022,51952,141853.9668,2380,0.022409776
48,2022,51235,139430.2666,2347,0.022100494
49,2022,49527,139614.8484,2318,0.021363739
50,2022,48544,133946.6406,2309,0.020939716
51,2022,46917,136971.8203,2231,0.020237901
52,2022,43538,135693.0987,2150,0.018780351
53,2022,43073,140894.2634,2226,0.018579771
54,2022,46371,135538.4679,2262,0.020002381
55,2022,47381,140511.4434,2347,0.02043805
56,2022,42169,140199.6153,2134,0.018189826
57,2022,39546,132117.1243,2070,0.017058381
58,2022,35779,132916.6395,1981,0.015433465
59,2022,33137,130326.8631,1767,0.014293824
60,2022,26505,127146.0497,1476,0.011433075
61,2022,25121,116246.2712,1342,0.010836079
62,2022,19270,115074.1109,1058,0.008312218
63,2022,15685,113100.9287,880,0.006765809
64,2022,12968,115629.4008,710,0.005593817
65,2022,8896,108383.175,539,0.003837338
66,2022,6268,94249.29834,374,0.002703736
67,2022,6153,102364.7011,325,0.00265413
68,2022,4284,99447.28945,243,0.001847927
69,2022,3189,96947.20539,189,0.001375592
70,2022,2243,86650.0379,132,0.00096753
71,2022,1572,106275.7074,96,0.000678091
72,2022,1494,61969.89157,87,0.000644445
73,2022,1301,69936.60031,69,0.000561193
74,2022,796,72979.63819,43,0.000343359
75,2022,582,107051.4691,37,0.000251049
76,2022,359,72977.87744,27,0.000154857
77,2022,256,46690.95313,19,0.000110427
79,2022,296,154098.5405,15,0.000127681
80,2022,64,18876.26563,6,2.76067E-05
81,2022,204,26016.52941,10,8.79965E-05
82,2022,79,17425.32911,5,3.40771E-05
83,2022,54,20472.24074,5,2.32932E-05
19,2021,398,39967.32412,17,0.000180491
