Year,State,Average Wage,Latitude,Longitude
2022,Alabama,17382.86391,32.806671,-86.79113
2022,Alaska,25929.07764,61.370716,-152.404419
2022,Arizona,22401.20492,33.729759,-111.431221
2022,Arkansas,18038.00693,34.969704,-92.373123
2022,California,26873.12123,36.116203,-119.681564
2022,Colorado,24044.39866,39.059811,-105.311104
2022,Connecticut,28816.38816,41.597782,-72.755371
2022,Delaware,21798.50428,39.318523,-75.507141
2022,District of Columbia,30141.13857,38.907192,-77.036871
2022,Florida,22996.92743,27.766279,-81.686783
2022,Georgia,20341.97631,33.040619,-83.643074
2022,Hawaii,32649.78651,21.094318,-157.498337
2022,Idaho,18025.77362,44.240459,-114.478828
2022,Illinois,21133.00203,40.349457,-88.986137
2022,Indiana,17517.72844,39.849426,-86.258278
2022,Iowa,19368.5241,42.011539,-93.210526
2022,Kansas,19440.143,38.5266,-96.726486
2022,Kentucky,17724.98122,37.66814,-84.670067
2022,Louisiana,19680.61148,31.169546,-91.867805
2022,Maine,23051.69378,44.693947,-69.381927
2022,Maryland,23925.87902,39.063946,-76.802101
2022,Massachusetts,28838.57124,42.230171,-71.530106
2022,Michigan,18997.04134,43.326618,-84.536095
2022,Minnesota,21445.3068,45.694454,-93.900192
2022,Mississippi,17325.51344,32.741646,-89.678696
2022,Missouri,19347.49684,38.456085,-92.288368
2022,Montana,21049.88433,46.921925,-110.454353
2022,Nebraska,20587.01882,41.12537,-98.268082
2022,Nevada,28577.60858,38.313515,-117.055374
2022,New Hampshire,26701.09491,43.452492,-71.563896
2022,New Jersey,26925.58611,40.298904,-74.521011
2022,New Mexico,18295.56884,34.840515,-106.248482
2022,New York,27863.39493,42.165726,-74.948051
2022,North Carolina,19407.10355,35.630066,-79.806419
2022,North Dakota,22092.70662,47.528912,-99.784012
2022,Ohio,18692.74536,40.388783,-82.764915
2022,Oklahoma,18078.91825,35.565342,-96.928917
2022,Oregon,23445.70651,44.572021,-122.070938
2022,Pennsylvania,20909.86309,40.590752,-77.209755
